unit,sector,na_item,geo\time	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015
MIO_EUR,S13,GD,AT	124398.7 	124352.4 	117788.4 	124559.2 	135123.3 	140419.8 	146328.4 	150470.1 	151862.3 	157159.6 	173577.7 	179444.2 	183848.8 	200984.1 	229224.8 	243871.1 	254858.0 	260091.1 	262299.8 	278918.8 	290761.7 
MIO_EUR,S13,GD,BE	287975.2 	277987.7 	275486.4 	277158.7 	279435.1 	280864.7 	285964.2 	288020.3 	285780.7 	288324.8 	294744.8 	297387.0 	299972.6 	327611.6 	347182.2 	363962.0 	387907.2 	403354.3 	412973.8 	426662.6 	433992.4 
MIO_EUR,S13,GD,BG			9266.9 	9125.9 	9647.5 	10168.5 	10269.8 	8890.2 	8126.5 	7526.2 	6388.6 	5721.0 	5296.9 	4847.5 	5108.7 	5856.1 	6284.2 	7004.9 	7147.0 	11531.8 	11785.2 
MIO_EUR,S13,GD,CY	3589.5 	3896.2 	4478.1 	4981.6 	5416.8 	5930.9 	6567.5 	7246.2 	8093.3 	8963.3 	9502.3 	9504.9 	9370.3 	8493.1 	9964.9 	10769.7 	12869.3 	15430.9 	18518.8 	18818.6 	18964.3 
MIO_EUR,S13,GD,CZ	6141.2 	6135.1 	6237.6 	8482.0 	9420.9 	11525.8 	18266.5 	21958.3 	24327.5 	28559.4 	31474.4 	35614.7 	40014.6 	42817.7 	50454.4 	60193.8 	62298.5 	71783.6 	67102.2 	65588.5 	67951.6 
MIO_EUR,S13,GD,DE	1078624.9 	1112814.3 	1142109.2 	1199979.2 	1238634.9 	1245784.7 	1258735.5 	1312459.8 	1400248.3 	1470554.0 	1541352.0 	1591264.4 	1599818.4 	1668808.5 	1785467.8 	2088726.3 	2128123.2 	2204506.8 	2189152.7 	2188671.1 	2157879.6 
MIO_EUR,S13,GD,DK						93084.0 	89464.7 	93174.5 	89061.4 	89394.7 	79532.4 	71183.3 	63755.0 	80547.4 	92986.7 	103472.8 	114452.4 	114025.8 	113943.4 	116798.5 	107446.9 
MIO_EUR,S13,GD,EA18	4068153.9 	4355238.6 	4429186.6 	4581720.9 	4712544.8 	4784167.1 	4927800.2 	5088261.4 	5330390.3 	5584417.6 	5850353.1 	5992970.0 	6101451.8 	6603027.8 	7273020.2 	7993057.1 	8424111.6 	8785363.6 	9058744.8 	9311523.6 	9433396.8 
MIO_EUR,S13,GD,EA19	4068741.4 	4356169.6 	4430595.4 	4583314.3 	4715025.1 	4787079.2 	4930985.4 	5091627.1 	5333785.4 	5587822.1 	5854055.0 	5997121.9 	6106061.5 	6607789.9 	7280548.7 	8003207.5 	8435740.8 	8798627.7 	9072294.8 	9326348.6 	9449336.3 
MIO_EUR,S13,GD,EE	236.2 	276.7 	311.2 	302.3 	348.0 	315.6 	333.4 	442.9 	489.7 	491.4 	512.3 	595.5 	595.2 	741.1 	995.6 	964.2 	1011.2 	1745.6 	1923.7 	2108.4 	2035.7 
MIO_EUR,S13,GD,EL	100752.8 	114954.8 	124579.9 	126131.3 	136512.5 	148217.0 	162971.0 	171410.0 	181510.0 	199276.0 	213970.0 	225648.0 	239915.0 	264775.0 	301062.0 	330570.0 	356289.0 	305096.0 	320511.0 	319729.0 	311673.0 
MIO_EUR,S13,GD,ES	295603.7 	324301.0 	331629.9 	346417.0 	362223.0 	374557.0 	378883.0 	384145.0 	382775.0 	389888.0 	393479.0 	392168.0 	383798.0 	439771.0 	568700.0 	649259.0 	743530.0 	890726.0 	978272.0 	1040883.0 	1073189.0 
MIO_EUR,S13,GD,EU27						5790486.7 	5951574.5 	6117815.7 	6369788.1 	6748187.7 	7114449.3 	7353716.1 	7455303.9 	7910110.6 	8932810.2 	10019523.9 	10670010.8 	11237867.3 	11580203.8 	12103524.2 	12456593.7 
MIO_EUR,S13,GD,EU28								6128172.1 	6381375.7 	6761404.2 	7129569.7 	7369288.3 	7471898.8 	7928812.1 	8955011.6 	10045433.1 	10698763.3 	11268771.4 	11615718.8 	12140632.0 	12494504.3 
MIO_EUR,S13,GD,FI	56526.5 	57713.0 	57456.7 	56414.1 	55912.4 	57926.2 	59186.6 	59661.0 	64870.0 	67697.0 	65759.0 	65894.0 	63425.0 	63254.0 	75482.0 	88160.0 	95490.0 	107708.0 	114801.0 	123696.0 	133111.0 
MIO_EUR,S13,GD,FR	696290.5 	751167.7 	787804.4 	829384.0 	847503.0 	870391.0 	897349.0 	956780.0 	1050259.0 	1123511.0 	1189818.0 	1193322.0 	1252021.0 	1357326.0 	1530720.0 	1631720.0 	1753659.0 	1868431.5 	1952874.5 	2038379.5 	2097610.5 
MIO_EUR,S13,GD,HR								10356.3 	11587.6 	13216.4 	15120.5 	15572.1 	16595.0 	18701.5 	22201.4 	25909.2 	28752.4 	30904.1 	35515.3 	37109.4 	37913.6 
MIO_EUR,S13,GD,HU	26760.5 	24541.3 	24335.3 	24794.1 	27337.1 	27696.4 	32440.7 	40520.1 	41837.2 	49991.5 	53722.2 	62007.1 	66044.0 	72636.3 	75700.3 	78426.9 	72225.7 	76681.7 	77687.3 	77689.6 	80392.2 
MIO_EUR,S13,GD,IE	41333.3 	44446.7 	43599.1 	41352.7 	43212.9 	39094.1 	40524.2 	41538.5 	43555.9 	44055.8 	44379.3 	43692.3 	47147.8 	79604.7 	104667.4 	144227.1 	189707.4 	209986.0 	215297.9 	203299.4 	201133.9 
MIO_EUR,S13,GD,IT	1070571.7 	1227834.7 	1236201.1 	1258222.6 	1285054.1 	1302548.0 	1360285.4 	1371679.2 	1397460.4 	1449656.5 	1518639.6 	1588072.2 	1605944.5 	1671130.0 	1769983.2 	1851506.9 	1907768.5 	1989878.3 	2070012.8 	2137119.3 	2172673.0 
MIO_EUR,S13,GD,LT	587.5 	931.1 	1408.8 	1593.4 	2480.4 	2912.1 	3185.2 	3365.7 	3395.1 	3404.5 	3701.9										
AVERAGE																					
